web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,price,price2,data8,data9,data10,data11,data12,data13,price3,price4,data14,data15,data16,data17,data18,price5,data19,data20,data21,data22,price6,data23,price7,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,price8,price9,image,image2
"1780486405-22","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","","","The Kashmir Emporium","Lightweight Thick Soft Pashmina Scarfs, Cashmere Shawls and Wraps for Women's","","","(18)","","39.","","","AED 10 delivery Fri, 5 Jun","","","4.2","","00","","+6 other colors/patterns","","AED 39.00","","","","","Add to cart","Fri, 5 Jun","","","AED","","","","4.2 out of 5 stars","Sponsored","Let us know","You’re seeing this ad based on the product’s relevance to your search query.","","Price, product page","","Sponsored","",".","","https://m.media-amazon.com/images/I/51rHinZzkvL._AC_UL960_FMwebp_QL65_.jpg"
"1780486405-23","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","","","Pashtush","WOMEN'S KASHMIRI SHAWL, WARM AND SOFT, FAUX PASHMINA DESIGN, TAUPE, Beige, 100x200","","","(2)","","154.","","","FREE delivery Fri, 5 Jun","","","4.6","","45","","","","AED 154.45","","Only 2 left in stock - order soon.","","","Add to cart","Fri, 5 Jun","","","AED","","","","4.6 out of 5 stars","Sponsored","Let us know","You’re seeing this ad based on the product’s relevance to your search query.","","Price, product page","","Sponsored","",".","","https://m.media-amazon.com/images/I/713dfrJwDjS._AC_UL960_FMwebp_QL65_.jpg"
"1780486405-24","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","","","Mintt","Tweedle Women's Off-White/Cream Pashmina Pure Wool Kashmiri Embroidery Stole/Shawl/Wrap for Winters (28 x 80 - inches)","","","","","130.","","","FREE delivery Fri, 5 Jun","","","","","27","","","","AED 130.27","","Only 2 left in stock - order soon.","","","Add to cart","Fri, 5 Jun","","","AED","","","","","Sponsored","Let us know","You’re seeing this ad based on the product’s relevance to your search query.","","Price, product page","","Sponsored","",".","","https://m.media-amazon.com/images/I/815BK-fiy3L._AC_UL960_FMwebp_QL65_.jpg"
"1780486405-25","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","The Kashmir Emporium","Pashmina Shawls and Wraps Large Scarfs for Women Wedding Party Bridal Long Fashion Solid Shawl Wrap with Fringes","","","(4)","","","28.","","AED 10 delivery Fri, 5 Jun","Fri, 5 Jun","","","5.0","","80","","","","AED 28.80","","","","Add to cart","","","","AED","","","","5.0 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/616jy5gc5eL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-26","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","Pashtush","Women's Kashmiri Shawl, Faux Pashmina Shawl, Warm And Soft, Luxury Design","","","(722)","","","110.","","FREE delivery 10 - 12 Jun","10 - 12 Jun","","","4.1","","00","","","","AED 110.00","","","","Add to cart","","","","AED","","","","4.1 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/81jzuCcf1OL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-27","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","Lamca","Women Pashmina Shawls and Wraps Scarf Soft Silky Reversible Paisley Scarves Shawl for Women","","","(323)","+24","","35.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","AED59.99","4.6","","99","","List: AED 59.99","","AED 35.99","","","","Add to cart","List:","","","AED","AED 59.99","","Best Seller","4.6 out of 5 stars","","","","","","Price, product page","","in Women's Pashminas","",".","","https://m.media-amazon.com/images/I/81pb18nl8jL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-28","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","Lamca","Women Pashmina Shawls and Wraps Scarf Soft Silky Reversible Paisley Scarves Shawl for Women","","","(323)","+29 other colors/patterns","","35.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","AED59.99","4.6","","99","","List: AED 59.99","","AED 35.99","","","","Add to cart","List:","","","AED","AED 59.99","","Best Seller","4.6 out of 5 stars","","","","","","Price, product page","","in Women's Pashminas","",".","","https://m.media-amazon.com/images/I/71SRH-S3eGL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-29","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","Lamca","Women Pashmina Shawls and Wraps Scarf Soft Silky Reversible Paisley Scarves Shawl for Women","","","(323)","+24","","35.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","AED59.99","4.6","","99","","List: AED 59.99","","AED 35.99","","","","Add to cart","List:","","","AED","AED 59.99","","","4.6 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/81+KgQv6H7L._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-30","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","FURTALK","Pashmina Shawl Wraps Cashmere Feel Blanket Scarves Fashion Scarf for Women Evening Wedding Bridesmaid Gifts","","","(2.6K)","+1","","25.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","","4.7","","55","","","","AED 25.55","","","","Add to cart","","","","AED","","","","4.7 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/71dHMmxhY+L._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-31","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","Weavers Villa","Women's Faux Pashmina Silk Paisley Design Shawls, Stoles","","","(1.3K)","+4","","80.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","","4.2","","00","","","","AED 80.00","","","","Add to cart","","","","AED","","","","4.2 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/81GqVe5kBDL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-32","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","FURTALK","Pashmina Shawl Wraps Cashmere Feel Blanket Scarves Fashion Scarf for Women Evening Wedding Bridesmaid Gifts","","","(2.6K)","+1","","19.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","","4.7","","99","","","","AED 19.99","","","","Add to cart","","","","AED","","","","4.7 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/61EQ0xBEAZL._AC_UL960_FMwebp_QL65_.jpg",""
