title,shop,sales,rating,sale_price,original_price,discount,image
"Black Pashmina Scarf: Kashmiri Aari Embroidery, Winter Shawl",Shawsans,,4.7,6456.0,12912.0,(50% off),https://i.etsystatic.com/59740729/c/1800/1800/107/957/il/772d8b/6895351284/il_765x1020.6895351284_pqt8.jpg
"Luxury Pashmina Shawl: Kashmiri Sozni Embroidery, Natural Jamawar",Kashmina786,,4.8,78335.0,92159.0,(15% off),https://i.etsystatic.com/17750182/r/il/d70ea5/7233578279/il_765x1020.7233578279_5qj2.jpg
Embroidered Kashmiri Pashmina Shawl: Handcrafted Wool Wrap,Shawsans,,4.7,6456.0,12912.0,(50% off),https://i.etsystatic.com/59740729/c/1739/1739/130/828/il/46ce30/6968982390/il_765x1020.6968982390_163e.jpg
Handwoven Pure Pashmina Shawl | Authentic 100% Kashmiri Pashmina | Soft Lightweight Wrap | Large 100x200 cm,KashCraftsUK,,5.0,24507.0,37704.0,(35% off),https://i.etsystatic.com/53243098/r/il/91a893/7753720813/il_765x1020.7753720813_f3k6.jpg
Exquisite Navy Blue & White Embroidered Pashmina Shawl,TRENDINGWAVESCRAFT,,4.2,6160.0,12320.0,(50% off),https://i.etsystatic.com/63337261/r/il/f85ae9/8092067352/il_765x1020.8092067352_7809.jpg
Fine Quality Large Kashmiri Pashmina Kani Weave Shawl/ Winter Wrap (40x80 inches),JKSowling,,4.8,10341.0,12926.0,(20% off),https://i.etsystatic.com/26145373/r/il/74e54b/7996697059/il_765x1020.7996697059_ec0y.jpg
"Embroidered Pashmina Shawl for Women, Floral Jaal Embroidery Wrap",TRENDINGWAVESCRAFT,,4.2,6160.0,12320.0,(50% off),https://i.etsystatic.com/63337261/r/il/f8991f/8081253924/il_765x1020.8081253924_acft.jpg
"Handmade Kashmiri Pashmina Shawl: Sozni Embroidery, Soft Toosh",SaniaLoom,,1.0,28474.0,37965.0,(25% off),https://i.etsystatic.com/57980406/r/il/55246d/7202644271/il_765x1020.7202644271_ejw2.jpg
Large Beige Kani Weave Kashmiri Pashmina wool Shawl: Winter Wrap (40x80 inches),JKSowling,,4.8,10341.0,12926.0,(20% off),https://i.etsystatic.com/26145373/r/il/f15ead/7640343020/il_765x1020.7640343020_498d.jpg
"Large Beige Kani Embroidered Zari Pashmina Wool Shawl, Winter Wrap (40X80 inches)",JKSowling,,4.8,8552.0,10691.0,(20% off),https://i.etsystatic.com/26145373/r/il/4a3261/7912630528/il_765x1020.7912630528_svgn.jpg
